AREA,,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN
Year,,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020
Month,Day,HORA,,,,,,,,,,,,,,,,,
1,1,0,618,"5,109","3,608","1,723","2,251","5,660","4,760","1,207",,0.62,5.11,3.61,1.72,2.25,5.66,4.76,1.21
1,1,1,605,"4,857","3,586","1,676","2,186","5,476","4,616","1,192",,0.61,4.86,3.59,1.68,2.19,5.48,4.62,1.19
1,1,2,589,"4,625","3,547","1,641","2,126","5,256","4,428","1,175",,0.59,4.63,3.55,1.64,2.13,5.26,4.43,1.18
1,1,3,575,"4,390","3,485","1,593","2,111","5,077","4,276","1,158",,0.58,4.39,3.49,1.59,2.11,5.08,4.28,1.16
1,1,4,565,"4,231","3,445","1,552","2,185","4,929","4,173","1,141",,0.57,4.23,3.45,1.55,2.19,4.93,4.17,1.14
1,1,5,558,"4,166","3,384","1,543","2,168","4,852","4,072","1,133",,0.56,4.17,3.38,1.54,2.17,4.85,4.07,1.13
1,1,6,547,"4,182","3,396","1,524","2,167","4,862","3,934","1,100",,0.55,4.18,3.40,1.52,2.17,4.86,3.93,1.10
1,1,7,528,"3,953","3,358","1,515","2,153","4,695","3,749","1,072",,0.53,3.95,3.36,1.52,2.15,4.70,3.75,1.07
1,1,8,535,"4,000","3,294","1,461","2,126","4,667","3,749","1,114",,0.54,4.00,3.29,1.46,2.13,4.67,3.75,1.11
1,1,9,548,"4,163","3,358","1,483","2,160","4,794","3,829","1,166",,0.55,4.16,3.36,1.48,2.16,4.79,3.83,1.17
1,1,10,562,"4,392","3,461","1,519","2,199","4,951","3,990","1,205",,0.56,4.39,3.46,1.52,2.20,4.95,3.99,1.21
1,1,11,571,"4,661","3,564","1,574","2,141","5,094","4,095","1,229",,0.57,4.66,3.56,1.57,2.14,5.09,4.10,1.23
1,1,12,569,"4,954","3,644","1,601","2,158","5,205","4,141","1,243",,0.57,4.95,3.64,1.60,2.16,5.21,4.14,1.24
1,1,13,567,"4,871","3,613","1,580","2,119","5,203","4,185","1,245",,0.57,4.87,3.61,1.58,2.12,5.20,4.19,1.25
1,1,14,566,"4,889","3,698","1,572","2,111","5,218","4,197","1,258",,0.57,4.89,3.70,1.57,2.11,5.22,4.20,1.26
1,1,15,572,"4,920","3,755","1,569","2,111","5,228","4,199","1,268",,0.57,4.92,3.76,1.57,2.11,5.23,4.20,1.27
1,1,16,593,"4,948","3,804","1,565","2,115","5,210","4,224","1,277",,0.59,4.95,3.80,1.57,2.12,5.21,4.22,1.28
1,1,17,662,"5,060","3,836","1,577","2,149","5,294","4,418","1,347",,0.66,5.06,3.84,1.58,2.15,5.29,4.42,1.35
1,1,18,690,"5,726","4,089","1,649","2,327","5,865","5,221","1,445",,0.69,5.73,4.09,1.65,2.33,5.87,5.22,1.45
1,1,19,696,"6,230","4,198","1,771","2,460","6,245","5,576","1,446",,0.70,6.23,4.20,1.77,2.46,6.25,5.58,1.45
1,1,20,694,"6,287","4,177","1,793","2,486","6,203","5,541","1,433",,0.69,6.29,4.18,1.79,2.49,6.20,5.54,1.43
1,1,21,676,"6,024","4,150","1,785","2,455","6,035","5,416","1,420",,0.68,6.02,4.15,1.79,2.46,6.04,5.42,1.42
1,1,22,644,"5,613","4,011","1,743","2,381","5,833","5,213","1,383",,0.64,5.61,4.01,1.74,2.38,5.83,5.21,1.38
1,1,23,607,"5,246","4,003","1,691","2,288","5,494","4,913","1,319",,0.61,5.25,4.00,1.69,2.29,5.49,4.91,1.32
1,2,0,577,"4,627","3,810","1,627","2,172","5,224","4,673","1,254",,0.58,4.63,3.81,1.63,2.17,5.22,4.67,1.25
1,2,1,558,"4,519","3,723","1,564","2,072","5,058","4,488","1,199",,0.56,4.52,3.72,1.56,2.07,5.06,4.49,1.20
1,2,2,545,"4,382","3,707","1,509","2,035","4,936","4,368","1,155",,0.55,4.38,3.71,1.51,2.04,4.94,4.37,1.16
1,2,3,543,"4,249","3,627","1,466","2,001","4,894","4,276","1,124",,0.54,4.25,3.63,1.47,2.00,4.89,4.28,1.12
1,2,4,553,"4,350","3,670","1,439","2,021","4,934","4,274","1,110",,0.55,4.35,3.67,1.44,2.02,4.93,4.27,1.11
1,2,5,577,"4,675","3,740","1,471","2,088","5,097","4,381","1,122",,0.58,4.68,3.74,1.47,2.09,5.10,4.38,1.12
1,2,6,627,"5,130","4,012","1,546","2,175","5,574","4,501","1,150",,0.63,5.13,4.01,1.55,2.18,5.57,4.50,1.15
1,2,7,679,"5,477","4,253","1,603","2,308","6,141","4,532","1,218",,0.68,5.48,4.25,1.60,2.31,6.14,4.53,1.22
1,2,8,718,"5,879","4,518","1,644","2,423","6,570","4,705","1,334",,0.72,5.88,4.52,1.64,2.42,6.57,4.71,1.33
1,2,9,746,"6,181","4,673","1,737","2,549","7,057","4,975","1,426",,0.75,6.18,4.67,1.74,2.55,7.06,4.98,1.43
1,2,10,768,"6,411","4,724","1,819","2,674","7,236","5,147","1,472",,0.77,6.41,4.72,1.82,2.67,7.24,5.15,1.47
1,2,11,781,"6,714","4,850","1,858","2,767","7,256","5,320","1,509",,0.78,6.71,4.85,1.86,2.77,7.26,5.32,1.51
1,2,12,788,"6,750","5,035","1,867","2,789","7,309","5,412","1,527",,0.79,6.75,5.04,1.87,2.79,7.31,5.41,1.53
1,2,13,795,"6,584","5,095","1,909","2,804","7,300","5,457","1,547",,0.80,6.58,5.10,1.91,2.80,7.30,5.46,1.55
1,2,14,793,"6,577","5,096","1,910","2,794","7,291","5,494","1,555",,0.79,6.58,5.10,1.91,2.79,7.29,5.49,1.56
1,2,15,795,"6,665","5,048","1,935","2,787","7,333","5,444","1,556",,0.80,6.67,5.05,1.94,2.79,7.33,5.44,1.56
1,2,16,802,"6,665","5,087","1,936","2,778","7,408","5,427","1,550",,0.80,6.67,5.09,1.94,2.78,7.41,5.43,1.55
1,2,17,849,"6,709","5,128","1,917","2,739","7,305","5,477","1,568",,0.85,6.71,5.13,1.92,2.74,7.31,5.48,1.57
1,2,18,869,"7,183","5,117","1,957","2,906","7,457","6,096","1,633",,0.87,7.18,5.12,1.96,2.91,7.46,6.10,1.63
1,2,19,874,"7,273","5,122","2,092","2,989","7,879","6,369","1,617",,0.87,7.27,5.12,2.09,2.99,7.88,6.37,1.62
1,2,20,860,"7,181","5,139","2,076","2,992","7,806","6,269","1,603",,0.86,7.18,5.14,2.08,2.99,7.81,6.27,1.60
1,2,21,824,"6,897","5,067","2,034","2,948","7,561","6,035","1,582",,0.82,6.90,5.07,2.03,2.95,7.56,6.04,1.58
1,2,22,789,"6,558","4,999","1,975","2,858","7,281","5,848","1,542",,0.79,6.56,5.00,1.98,2.86,7.28,5.85,1.54
