Sistema, Dia, Hora, Eolica, Fotovoltaica,  Biomasa, Carboelectrica, Ciclo Combinado, Combustion Interna, Geotermoelectrica, Hidroelectrica, Nucleoelectrica, Termica Convencional, Turbo Gas
SEN,1/1/2020,1," 2,063 ", -   , 27 ," 1,304 "," 15,893 ", 224 , 553 ," 1,009 "," 1,563 "," 1,804 "," 1,385 "
SEN,1/1/2020,2," 1,854 ", -   , 27 ," 1,124 "," 15,666 ", 214 , 554 , 831 ," 1,564 "," 1,796 "," 1,400 "
SEN,1/1/2020,3," 1,620 ", -   , 26 , 970 ," 15,262 ", 210 , 553 , 782 ," 1,564 "," 1,790 "," 1,401 "
SEN,1/1/2020,4," 1,617 ", -   , 26 , 968 ," 14,662 ", 207 , 553 , 679 ," 1,563 "," 1,785 "," 1,400 "
SEN,1/1/2020,5," 1,659 ", -   , 26 , 969 ," 14,167 ", 205 , 553 , 699 ," 1,564 "," 1,785 "," 1,382 "
SEN,1/1/2020,6," 1,500 ", -   , 27 , 973 ," 13,677 ", 211 , 553 , 994 ," 1,564 "," 1,786 "," 1,378 "
SEN,1/1/2020,7," 1,213 ", 0 , 28 , 970 ," 13,021 ", 213 , 553 ," 1,749 "," 1,565 "," 1,780 "," 1,377 "
SEN,1/1/2020,8," 1,124 ", 36 , 28 , 930 ," 12,711 ", 212 , 552 ," 1,558 "," 1,564 "," 1,681 "," 1,377 "
SEN,1/1/2020,9," 1,043 ", 317 , 27 , 899 ," 12,647 ", 215 , 552 ," 1,467 "," 1,565 "," 1,576 "," 1,380 "
SEN,1/1/2020,10," 1,190 ", 854 , 26 , 899 ," 12,609 ", 207 , 551 ," 1,360 "," 1,564 "," 1,552 "," 1,378 "
SEN,1/1/2020,11," 1,151 "," 1,376 ", 22 , 903 ," 12,727 ", 209 , 549 ," 1,555 "," 1,564 "," 1,570 "," 1,378 "
SEN,1/1/2020,12, 899 ," 1,571 ", 30 , 908 ," 13,607 ", 212 , 545 ," 1,355 "," 1,563 "," 1,572 "," 1,377 "
SEN,1/1/2020,13, 617 ," 1,702 ", 29 , 906 ," 14,380 ", 206 , 544 ," 1,322 "," 1,563 "," 1,568 "," 1,372 "
SEN,1/1/2020,14, 541 ," 1,655 ", 29 , 911 ," 14,863 ", 206 , 543 , 808 ," 1,562 "," 1,589 "," 1,370 "
SEN,1/1/2020,15, 784 ," 1,523 ", 27 , 910 ," 15,057 ", 224 , 542 , 632 ," 1,562 "," 1,590 "," 1,366 "
SEN,1/1/2020,16," 1,118 "," 1,341 ", 25 , 917 ," 14,900 ", 225 , 542 , 778 ," 1,561 "," 1,601 "," 1,365 "
SEN,1/1/2020,17," 1,048 ", 973 , 26 , 974 ," 15,246 ", 229 , 542 , 994 ," 1,562 "," 1,596 "," 1,370 "
SEN,1/1/2020,18, 953 , 429 , 29 ," 1,062 "," 16,136 ", 236 , 544 ," 1,273 "," 1,562 "," 1,622 "," 1,380 "
SEN,1/1/2020,19," 1,109 ", 24 , 28 ," 1,225 "," 18,141 ", 236 , 544 ," 1,835 "," 1,562 "," 1,727 "," 1,477 "
SEN,1/1/2020,20," 1,257 ", 0 , 27 ," 1,226 "," 18,652 ", 235 , 545 ," 2,763 "," 1,559 "," 1,734 "," 1,511 "
SEN,1/1/2020,21," 1,243 ", -   , 28 ," 1,219 "," 18,639 ", 242 , 545 ," 2,817 "," 1,557 "," 1,722 "," 1,506 "
SEN,1/1/2020,22," 1,230 ", -   , 28 ," 1,232 "," 18,415 ", 239 , 545 ," 2,335 "," 1,557 "," 1,732 "," 1,508 "
SEN,1/1/2020,23," 1,325 ", -   , 28 ," 1,241 "," 17,784 ", 240 , 544 ," 1,798 "," 1,558 "," 1,686 "," 1,482 "
SEN,1/1/2020,24," 1,092 ", -   , 28 ," 1,239 "," 17,176 ", 226 , 545 ," 1,613 "," 1,559 "," 1,556 "," 1,390 "
SEN,2/1/2020,1, 922 , -   , 20 ," 1,237 "," 16,440 ", 208 , 592 , 948 ," 1,559 "," 1,482 "," 1,359 "
SEN,2/1/2020,2, 969 , -   , 20 ," 1,238 "," 15,636 ", 207 , 599 , 938 ," 1,560 "," 1,469 "," 1,358 "
SEN,2/1/2020,3, 963 , -   , 16 ," 1,241 "," 15,087 ", 205 , 601 , 912 ," 1,561 "," 1,477 "," 1,364 "
SEN,2/1/2020,4, 929 , -   , 14 ," 1,234 "," 14,760 ", 201 , 601 , 784 ," 1,561 "," 1,509 "," 1,365 "
SEN,2/1/2020,5, 994 , -   , 15 ," 1,240 "," 15,004 ", 200 , 602 , 750 ," 1,561 "," 1,473 "," 1,349 "
SEN,2/1/2020,6," 1,191 ", -   , 14 ," 1,238 "," 15,415 ", 204 , 603 , 983 ," 1,562 "," 1,511 "," 1,347 "
SEN,2/1/2020,7," 1,273 ", 1 , 5 ," 1,244 "," 16,547 ", 212 , 604 ," 1,263 "," 1,562 "," 1,579 "," 1,436 "
SEN,2/1/2020,8," 1,290 ", 39 , 3 ," 1,238 "," 17,846 ", 222 , 601 ," 1,322 "," 1,562 "," 1,667 "," 1,437 "
SEN,2/1/2020,9," 1,382 ", 477 , 4 ," 1,236 "," 18,582 ", 218 , 600 ," 1,294 "," 1,563 "," 2,009 "," 1,450 "
SEN,2/1/2020,10," 1,653 "," 1,490 ", 4 ," 1,237 "," 18,739 ", 215 , 595 ," 1,166 "," 1,562 "," 2,237 "," 1,455 "
SEN,2/1/2020,11," 2,021 "," 2,229 ", 4 ," 1,241 "," 18,582 ", 207 , 582 ," 1,034 "," 1,562 "," 2,357 "," 1,451 "
SEN,2/1/2020,12," 2,384 "," 2,536 ", 6 ," 1,245 "," 18,772 ", 209 , 548 , 974 ," 1,561 "," 2,406 "," 1,444 "
SEN,2/1/2020,13," 2,635 "," 2,871 ", 20 ," 1,240 "," 18,651 ", 199 , 544 , 915 ," 1,561 "," 2,449 "," 1,456 "
SEN,2/1/2020,14," 2,470 "," 3,026 ", 17 ," 1,236 "," 18,519 ", 217 , 552 ," 1,075 "," 1,560 "," 2,452 "," 1,439 "
SEN,2/1/2020,15," 2,505 "," 2,997 ", 17 ," 1,226 "," 18,490 ", 221 , 599 ," 1,142 "," 1,558 "," 2,346 "," 1,450 "
