Fecha-Hora,Fecha,Hora,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CENTRAL,NORESTE,NOROESTE,NORTE,No Aplica,OCCIDENTAL,ORIENTAL,PENINSULAR
1/1/2020 00:00,1/1/2020 00:00,0, 18 , 79 , 20 , 17 , 12 , 16 , 21 , 19 , 20 , 22 
1/1/2020 01:00,1/1/2020 00:00,1, 40 , 84 , 18 , 15 , 11 , 14 , 27 , 17 , 19 , 20 
1/1/2020 02:00,1/1/2020 00:00,2, 39 , 77 , 17 , 15 , 11 , 14 , 26 , 16 , 18 , 19 
1/1/2020 03:00,1/1/2020 00:00,3, 18 , 65 , 17 , 14 , 11 , 13 , 19 , 16 , 17 , 19 
1/1/2020 04:00,1/1/2020 00:00,4, 18 , 62 , 15 , 13 , 10 , 12 , 19 , 14 , 15 , 17 
1/1/2020 05:00,1/1/2020 00:00,5, 18 , 78 , 15 , 13 , 10 , 12 , 18 , 14 , 15 , 17 
1/1/2020 06:00,1/1/2020 00:00,6, 15 , 79 , 14 , 12 , 9 , 11 , 17 , 13 , 14 , 16 
1/1/2020 07:00,1/1/2020 00:00,7, 9 , 64 , 11 , 10 , 9 , 9 , 15 , 11 , 12 , 13 
1/1/2020 08:00,1/1/2020 00:00,8,-5 , 57 , 10 , 9 , 8 , 9 , 10 , 10 , 11 , 12 
1/1/2020 09:00,1/1/2020 00:00,9,-23 , 60 , 12 , 10 , 9 , 10 , 6 , 11 , 13 , 14 
1/1/2020 10:00,1/1/2020 00:00,10,-20 , 59 , 14 , 12 , 10 , 11 , 8 , 13 , 15 , 17 
1/1/2020 11:00,1/1/2020 00:00,11,-21 , 57 , 17 , 14 , 11 , 13 , 9 , 16 , 17 , 19 
1/1/2020 12:00,1/1/2020 00:00,12,-19 , 56 , 17 , 14 , 11 , 13 , 10 , 16 , 18 , 24 
1/1/2020 13:00,1/1/2020 00:00,13,-15 , 56 , 17 , 14 , 12 , 13 , 11 , 16 , 18 , 24 
1/1/2020 14:00,1/1/2020 00:00,14,-7 , 61 , 17 , 14 , 11 , 13 , 13 , 16 , 18 , 24 
1/1/2020 15:00,1/1/2020 00:00,15, 20 , 64 , 19 , 16 , 12 , 15 , 22 , 18 , 20 , 26 
1/1/2020 16:00,1/1/2020 00:00,16, 20 , 63 , 20 , 15 , 12 , 14 , 21 , 17 , 21 , 23 
1/1/2020 17:00,1/1/2020 00:00,17, 26 , 82 , 20 , 16 , 12 , 15 , 24 , 18 , 20 , 28 
1/1/2020 18:00,1/1/2020 00:00,18, 25 , 83 , 36 , 18 , 14 , 17 , 31 , 20 , 46 , 58 
1/1/2020 19:00,1/1/2020 00:00,19, 22 , 83 , 41 , 18 , 14 , 17 , 31 , 20 , 55 , 66 
1/1/2020 20:00,1/1/2020 00:00,20, 21 , 83 , 37 , 19 , 14 , 18 , 30 , 21 , 47 , 57 
1/1/2020 21:00,1/1/2020 00:00,21, 18 , 79 , 37 , 19 , 14 , 18 , 30 , 21 , 48 , 54 
1/1/2020 22:00,1/1/2020 00:00,22, 18 , 82 , 35 , 19 , 14 , 18 , 27 , 21 , 46 , 52 
1/1/2020 23:00,1/1/2020 00:00,23, 8 , 64 , 21 , 17 , 14 , 16 , 19 , 20 , 22 , 25 
2/1/2020 00:00,2/1/2020 00:00,0, 23 , 74 , 20 , 17 , 13 , 16 , 24 , 19 , 21 , 24 
2/1/2020 01:00,2/1/2020 00:00,1, 23 , 61 , 20 , 16 , 13 , 15 , 25 , 18 , 20 , 22 
2/1/2020 02:00,2/1/2020 00:00,2, 17 , 59 , 19 , 16 , 13 , 15 , 23 , 18 , 20 , 22 
2/1/2020 03:00,2/1/2020 00:00,3, 17 , 59 , 18 , 15 , 13 , 15 , 20 , 17 , 19 , 21 
2/1/2020 04:00,2/1/2020 00:00,4, 17 , 59 , 19 , 16 , 13 , 15 , 20 , 18 , 20 , 22 
2/1/2020 05:00,2/1/2020 00:00,5, 17 , 61 , 19 , 16 , 13 , 15 , 20 , 18 , 19 , 21 
2/1/2020 06:00,2/1/2020 00:00,6, 24 , 76 , 21 , 17 , 12 , 15 , 22 , 20 , 22 , 24 
2/1/2020 07:00,2/1/2020 00:00,7, 49 , 81 , 22 , 18 , 13 , 17 , 30 , 21 , 23 , 25 
2/1/2020 08:00,2/1/2020 00:00,8, 35 , 79 , 24 , 18 , 14 , 17 , 27 , 21 , 24 , 27 
2/1/2020 09:00,2/1/2020 00:00,9, 21 , 68 , 28 , 18 , 14 , 17 , 23 , 22 , 28 , 31 
